"","AAPL","AMGN","AXP","BA","CAT","CRM","CSCO","CVX","DIS","DOW","GS","HD","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PG","TRV","UNH","V","VZ","WBA","WMT"
"1996-03-12",0.230469,15.21875,13.165971,40.875,17.59375,NA,5.041667,27.25,22.278458,NA,NA,10.777778,28.5625,6.859375,23.53125,21.875,20.3125,25.3125,32.75,31.5625,5.984375,4.71875,21.40625,27.4375,7.859375,NA,28.160044,8.25,11.1875
"1996-03-13",0.229911,15.5,13.1295,40.375,17.65625,NA,5.125,27.5,22.566187,NA,NA,10.777778,28.96875,7.015625,23.21875,22.25,20.28125,25.1875,32.4375,30.8125,6.304688,4.890625,21.125,27.0625,7.833984,NA,27.991421,8.09375,11.5
"1996-03-14",0.228795,15.5625,13.785975,41.125,17.71875,NA,5.104167,28,22.936125,NA,NA,10.777778,29.21875,7.015625,23.15625,22.75,20.375,25.3125,31.625,31,6.226563,4.921875,21.03125,27.3125,7.828125,NA,27.541759,8.1875,11.8125
"1996-03-15",0.231027,15.53125,14.114212,40.4375,18,NA,5.277778,27.4375,22.771708,NA,NA,11,29.96875,7.359375,23.5,22.625,20.21875,25.625,31.75,31.0625,6.398438,4.976563,20.78125,27,7.734375,NA,27.654175,8.09375,11.875
"1996-03-18",0.233259,15.46875,14.223625,42.8125,18.375,NA,5.402778,28.5,21.990728,NA,NA,11.111111,31.15625,7.4375,23.59375,23.25,20.625,26.0625,32.3125,31.375,6.578125,4.976563,21.34375,28.0625,7.765625,NA,28.328667,8.28125,12.25
"1996-03-19",0.229911,15.15625,14.260096,44,18.09375,NA,5.388889,28.5,21.374166,NA,NA,10.972222,30.4375,7.34375,23.125,23.291666,20.625,25.1875,32.5625,31.0625,6.679688,4.96875,21.3125,27.625,7.859375,NA,28.665913,8.25,11.875
"1996-03-20",0.225446,14.96875,14.187154,43.625,17.71875,NA,5.111111,27.9375,21.456375,NA,NA,10.916667,29.25,6.9375,23.4375,23.708334,21.0625,25.4375,32.5,31.5,6.539063,4.960938,21.75,27.6875,7.734375,NA,29.059366,8.1875,11.9375
"1996-03-21",0.22433,15.4375,14.150683,43.8125,17.5,NA,4.972222,27.8125,21.209749,NA,NA,10.75,28.71875,6.984375,23.53125,24,20.90625,25.0625,32.25,32.75,6.296875,5.015625,21.78125,27.6875,7.796875,NA,28.946951,8.25,11.8125
"1996-03-22",0.226563,15.6875,14.223625,44.4375,17.3125,NA,4.972222,27.625,21.333063,NA,NA,10.944445,28.5625,7.015625,23.625,23.708334,20.96875,25.375,32.25,31.75,6.320313,5.164063,21.96875,28,7.703125,NA,28.946951,8.4375,11.875
"1996-03-25",0.214286,14.78125,14.333037,43.9375,17.34375,NA,4.805555,27.9375,21.086437,NA,NA,10.888889,27.1875,6.861328,23.40625,23.625,21.125,25.125,32.4375,31.25,6.242188,5.304688,21.6875,28.125,7.6875,NA,28.946951,8.5,11.8125
"1996-03-26",0.21317,14.75,14.223625,43.9375,17.46875,NA,4.770833,28.5625,21.209749,NA,NA,10.75,27.6875,7.015625,23.65625,23.583334,21.21875,24.875,32.5625,32.0625,6.421875,5.34375,21.84375,28.375,7.59375,NA,28.890743,8.46875,11.8125
"1996-03-27",0.225446,14.8125,14.114212,44.3125,17.375,NA,4.993055,28.5625,21.209749,NA,NA,10.777778,27.8125,7.078125,23.28125,23.833334,20.96875,24.6875,32.5,31.5625,6.40625,5.257813,21.4375,28.0625,7.703125,NA,28.609705,8.375,11.8125
"1996-03-28",0.21596,14.875,14.44245,44.1875,17.125,NA,5.125,28.6875,21.209749,NA,NA,10.805555,27.4375,7.046875,23.1875,23.791666,20.96875,24.625,33.1875,31.5,6.390625,5.164063,21.4375,27.8125,7.59375,NA,27.935213,8.25,12
"1996-03-29",0.219308,14.53125,14.405979,43.3125,17,NA,5.152778,28.0625,21.004229,NA,NA,10.611111,27.8125,7.109375,23.0625,23.5,20.6875,24,32.3125,31.125,6.445313,5.078125,21.1875,27.75,7.6875,NA,27.822798,8.15625,11.5
"1996-04-01",0.227679,14.40625,14.661275,42.4375,16.875,NA,5.25,28.125,21.333063,NA,NA,10.611111,27.59375,7.140625,23.3125,24.333334,21.0625,24.625,33.25,31.6875,6.421875,5.164063,21.59375,26.875,8.015625,NA,28.384874,8.25,11.75
"1996-04-02",0.223214,14.71875,14.661275,43.125,16.65625,NA,5.319445,28.5625,21.538584,NA,NA,10.5,29.40625,7.109375,23.8125,24.75,21,24.6875,32.875,31.75,6.539063,5.046875,21.5625,27.4375,7.984375,NA,28.609705,8.46875,11.375
"1996-04-03",0.219308,14.8125,14.588333,43.4375,17.0625,NA,5.430555,28.6875,21.579687,NA,NA,10.444445,29.9375,7.203125,23.53125,24.458334,21,24.375,32.8125,31.75,6.53125,4.984375,21.6875,27.625,7.9375,NA,28.160044,8.3125,11.3125
"1996-04-04",0.215402,14.78125,14.770687,42.6875,17.15625,NA,5.388889,28.75,21.374166,NA,NA,10.388889,29.4375,7.40625,23.65625,24.458334,20.9375,24.375,32.625,31.9375,6.523438,5.117188,21.78125,28.0625,7.8125,NA,27.879005,8.5625,11.25
"1996-04-08",0.217634,14.3125,14.223625,41.5,16.90625,NA,5.152778,28.3125,21.168646,NA,NA,10.111111,29.84375,7.578125,23.03125,23.541666,20.625,23.9375,32.25,30.9375,6.484375,5.0625,21.15625,27.9375,7.625,NA,27.035891,8.125,11.0625
"1996-04-09",0.232143,14.0625,13.822446,41.0625,16.6875,NA,5.083333,28.1875,20.92202,NA,NA,10.194445,29.46875,7.734375,22.8125,23.083334,20.4375,23.625,32.0625,30.5625,6.351563,5.0625,20.75,27.5625,7.609375,NA,26.979683,8.125,11
"1996-04-10",0.232143,13.125,13.384796,40.25,16.625,NA,5.138889,27.875,20.017729,NA,NA,9.861111,29,7.71875,22.0625,22.333334,19.71875,23.625,32,29.375,6.351563,5.148438,20.25,27.375,7.296875,NA,27.541759,7.875,10.9375
"1996-04-11",0.229911,13.34375,13.457738,39.5625,17.15625,NA,5.291667,27.9375,19.853313,NA,NA,9.777778,29.375,7.554688,21.875,22.291666,19.96875,23.25,31.9375,29.6875,6.320313,5.21875,20.53125,26.5625,7.515625,NA,26.754852,7.84375,10.9375
"1996-04-12",0.227679,13.6875,13.713034,40.75,17.5625,NA,5.083333,27.6875,20.182146,NA,NA,9.972222,27.875,7.453125,22.15625,22.833334,20.1875,24.1875,32.0625,30.3125,6.320313,5.296875,20.8125,26.8125,7.578125,NA,27.485552,7.9375,11.3125
"1996-04-15",0.229911,13.640625,14.0048,40.75,17.90625,NA,4.923611,28.3125,20.346563,NA,NA,10.194445,28.53125,7.578125,22.4375,23.041666,20.25,24.25,32.5,30.0625,6.469727,5.367188,21.0625,26.9375,7.703125,NA,27.597967,7.90625,11.375
"1996-04-16",0.231027,13.625,13.785975,40.375,17.625,NA,5.125,28.3125,20.469875,NA,NA,10.305555,28.875,8.109375,22.78125,23,20.34375,24.3125,32.25,30,6.578125,5.523438,21.34375,27,7.828125,NA,27.092098,7.90625,11.3125
"1996-04-17",0.225446,13.28125,13.968329,39.75,16.9375,NA,5.097222,28,20.510979,NA,NA,10.25,26.3125,8.023438,22.65625,22.75,20.03125,23.5,32.3125,30.125,6.621094,5.796875,21,27,7.609375,NA,27.822798,8,11.25
"1996-04-18",0.220982,14.3125,13.749504,40.6875,16.34375,NA,5.125,27.75,20.675396,NA,NA,10.25,26.375,8.21875,22.90625,22.791666,19.875,23.375,32.3125,30.6875,6.8125,5.6875,21.125,26.8125,7.5,NA,28.103836,7.8125,11.0625
"1996-04-19",0.223772,14.0625,13.56715,40.5625,16.25,NA,5.305555,27.875,20.757605,NA,NA,10.333333,26.34375,8.15625,22.71875,22.583334,19.6875,23.25,32.1875,30.9375,6.859375,5.6875,20.9375,26.9375,7.5,NA,29.227989,7.875,11.25
"1996-04-22",0.22433,14.09375,13.785975,41.125,16.375,NA,5.208333,27.875,20.593187,NA,NA,10.305555,26.8125,8.46875,22.5,22.291666,20.15625,23.75,32.3125,30.8125,7.046875,5.640625,21.28125,27.4375,7.234375,NA,30.239727,7.90625,11.3125
"1996-04-23",0.220982,14.21875,13.713034,40.6875,16.34375,NA,5.402778,28.8125,20.305458,NA,NA,10.25,26.75,8.513672,22.625,22.375,20.25,23.5625,32.25,30.875,7.039063,5.601563,21.25,27.625,7.328125,NA,29.790066,8,11.4375
"1996-04-24",0.216518,13.78125,13.603621,40.25,16.1875,NA,5.715278,29.0625,19.93552,NA,NA,10.222222,26.6875,8.78125,22.4375,22.25,20.09375,23.5,32.375,30.1875,6.96875,5.609375,21.125,27.5625,7.28125,NA,29.396612,8.0625,11.4375
"1996-04-25",0.222098,14.15625,13.858916,40.25,16.65625,NA,5.694445,28.6875,20.141041,NA,NA,10.416667,27.0625,8.703125,22.53125,22.75,20.3125,23.6875,32.5,30.0625,7.046875,5.5,21.375,27.6875,7.34375,NA,30.071104,7.9375,11.5625
"1996-04-26",0.220982,14.25,14.114212,40.375,16.21875,NA,5.819445,28.9375,20.346563,NA,NA,10.472222,26.9375,8.65625,22.65625,23.041666,20.3125,24,32.5625,30,7.09375,5.53125,21.21875,27.375,7.296875,NA,29.509027,7.90625,11.875
"1996-04-29",0.220982,14.21875,14.077742,40.375,16.0625,NA,5.777778,29.25,20.346563,NA,NA,10.527778,27.15625,8.515625,22.96875,22.958334,20.28125,24.125,33,30.375,7.039063,5.5625,21.0625,27,7.265625,NA,29.284197,8.0625,11.6875
"1996-04-30",0.217634,14.375,14.150683,41.0625,16.03125,NA,5.763889,29,20.387667,NA,NA,10.527778,26.9375,8.46875,23.125,23,20.375,23.9375,32.875,30.25,7.078125,5.46875,21.125,26.5625,7.3125,NA,29.227989,8,11.9375
"1996-05-01",0.217634,14.375,14.150683,40.3125,16.15625,NA,5.805555,28.8125,19.894417,NA,NA,10.527778,26.96875,8.484375,23.1875,22.916666,20.4375,24.4375,32.9375,30.3125,7.195313,5.53125,21.1875,26.5,7.203125,NA,29.115574,8,12.125
"1996-05-02",0.212054,13.375,13.785975,38.75,16.15625,NA,5.583333,28.5,19.73,NA,NA,10.361111,26.96875,8.5,22.375,21.875,20.09375,23.6875,32.6875,29.375,6.976563,5.46875,20.78125,25.875,7.109375,NA,28.328667,7.8125,11.8125
"1996-05-03",0.21317,13.09375,13.785975,39,15.9375,NA,5.625,28.3125,19.401167,NA,NA,10.361111,27.03125,8.585938,22.375,22,19.9375,23.3125,32.1875,29.125,6.929688,5.585938,20.75,25.75,7.109375,NA,28.160044,7.78125,11.734375
"1996-05-06",0.228795,13.640625,13.384796,38.375,15.96875,NA,5.708333,28,19.771105,NA,NA,10.333333,26.75,8.59375,22.4375,21.666666,20.21875,23.8125,32.875,28.5,6.984375,5.570313,20.8125,25.8125,7.015625,NA,28.160044,7.71875,11.75
"1996-05-07",0.239955,13.65625,13.457738,37.4375,15.78125,NA,5.805555,27.5625,19.524479,NA,NA,10.361111,26.46875,8.484375,22.4375,21.958334,20.34375,23.625,32.3125,28.875,7.070313,5.796875,20.65625,25.4375,6.796875,NA,28.103836,7.71875,11.75
"1996-05-08",0.238839,13.96875,13.968329,38.1875,15.75,NA,5.861111,28.3125,19.401167,NA,NA,10.222222,26.46875,8.59375,22.96875,22.5,20.6875,23.9375,32.25,29.6875,7.140625,5.851563,21.0625,26.0625,6.78125,NA,28.441082,7.71875,12.125
"1996-05-09",0.233259,13.90625,13.676562,38.625,15.84375,NA,5.861111,28.5625,19.154541,NA,NA,10.583333,26.75,8.578125,22.71875,22.375,20.6875,23.5625,32.0625,29.1875,7.09375,5.742188,21.390625,26,6.828125,NA,28.72212,7.90625,11.8125
"1996-05-10",0.243304,14.0625,13.858916,39.6875,15.90625,NA,6.111111,28.5625,19.483376,NA,NA,11,26.59375,8.640625,22.90625,22.958334,20.96875,23.6875,32.625,29.6875,7.179688,5.820313,21.5625,26.125,6.671875,NA,29.284197,8.0625,11.875
"1996-05-13",0.241629,14.453125,13.968329,39.6875,16.03125,NA,6.097222,29.625,19.976625,NA,NA,11.583333,26.90625,8.96875,23.15625,23.208334,21.5,23.875,32.8125,30,7.414063,6.023438,21.75,26.3125,6.78125,NA,29.340405,8.46875,12.125
"1996-05-14",0.245536,14.5,13.858916,40.875,16.3125,NA,6.236111,29.625,20.017729,NA,NA,11.805555,27.15625,9.109375,23.125,23.291666,22.1875,23.875,32.625,30.3125,7.4375,6.03125,21.6875,26.375,6.75,NA,29.171782,8.28125,12.375
"1996-05-15",0.254464,14.375,13.785975,40.6875,16.6875,NA,6.152778,29.5,19.853313,NA,NA,11.416667,27.25,9.046875,23.46875,23.125,22.25,23.8125,32.75,30.6875,7.351563,5.867188,21.71875,26.3125,6.875,NA,28.778328,8.375,12.25
"1996-05-16",0.253348,14.6875,13.640092,41.1875,17.1875,NA,6.208333,29.25,19.976625,NA,NA,11.638889,27.15625,8.984375,23.5625,23.166666,22.75,23.875,33.6875,31.0625,7.320313,5.867188,21.9375,26.125,6.90625,NA,28.890743,8.375,12.3125
"1996-05-17",0.246652,14.96875,13.713034,41.5,17.21875,NA,6.222222,29.75,20.141041,NA,NA,11.527778,27.71875,8.890625,23.71875,23.666666,23.0625,24.0625,34.3125,31.8125,7.3125,5.929688,21.90625,26.0625,6.90625,NA,28.834536,8.40625,12.3125
