PERMNO,date,RETX
10145,07/21/1992,0.011905
10145,07/22/1992,-0.011765
10145,07/23/1992,0.028571
10145,07/24/1992,0.009259
10145,07/27/1992,-0.006881
10145,07/28/1992,0.006928
10145,07/29/1992,0.032110
10145,07/30/1992,-0.004444
10145,07/31/1992,-0.008929
10145,08/03/1992,0.006757
10145,08/04/1992,0.011186
10145,08/05/1992,-0.015487
10145,08/06/1992,0.006742
10145,08/07/1992,-0.002232
10145,08/10/1992,0.002237
10145,08/11/1992,-0.006696
10145,08/12/1992,0.004494
10145,08/13/1992,-0.033557
10145,08/14/1992,-0.009259
10145,08/17/1992,0.007009
10145,08/18/1992,-0.004640
10145,08/19/1992,-0.009324
10145,08/20/1992,0.004706
10145,08/21/1992,-0.007026
10145,08/24/1992,-0.028302
10145,08/25/1992,-0.009709
10145,08/26/1992,0.029412
10145,08/27/1992,0.021429
10145,08/28/1992,-0.009324
10145,08/31/1992,-0.014118
10145,09/01/1992,0.002387
10145,09/02/1992,0.007143
10145,09/03/1992,0.007092
10145,09/04/1992,-0.002347
10145,09/08/1992,-0.014118
10145,09/09/1992,-0.011933
10145,09/10/1992,0.019324
10145,09/11/1992,0.011848
10145,09/14/1992,0.046838
10145,09/15/1992,-0.002237
10145,09/16/1992,-0.011211
10145,09/17/1992,0.013605
10145,09/18/1992,-0.002237
10145,09/21/1992,-0.017937
10145,09/22/1992,-0.036530
10145,09/23/1992,0.018957
10145,09/24/1992,0.013953
10145,09/25/1992,-0.025229
10145,09/28/1992,0.007059
10145,09/29/1992,-0.011682
10145,09/30/1992,-0.016548
10145,10/01/1992,0.009615
10145,10/02/1992,-0.019048
10145,10/05/1992,-0.016990
10145,10/06/1992,0.019753
10145,10/07/1992,0.014528
10145,10/08/1992,-0.021480
10145,10/09/1992,-0.012195
10145,10/12/1992,0.002469
10145,10/13/1992,0.029557
10145,10/14/1992,0.019139
10145,10/15/1992,-0.004695
10145,10/16/1992,0.009434
10145,10/19/1992,-0.007009
10145,10/20/1992,0.018824
10145,10/21/1992,0.011547
10145,10/22/1992,0.000000
10145,10/23/1992,0.018265
10145,10/26/1992,0.022422
10145,10/27/1992,-0.010965
10145,10/28/1992,-0.004435
10145,10/29/1992,-0.002227
10145,10/30/1992,-0.008929
10145,11/02/1992,0.002252
10145,11/03/1992,0.022472
10145,11/04/1992,-0.002198
10145,11/05/1992,0.002203
10145,11/06/1992,0.010989
10145,11/09/1992,0.000000
10145,11/10/1992,-0.008696
10145,11/11/1992,-0.004386
10145,11/12/1992,0.002203
10145,11/13/1992,0.000000
10145,11/16/1992,-0.017582
10145,11/17/1992,0.002237
10145,11/18/1992,-0.002232
10145,11/19/1992,-0.002237
10145,11/20/1992,-0.011211
10145,11/23/1992,-0.004535
10145,11/24/1992,0.013667
10145,11/25/1992,0.006742
10145,11/27/1992,0.006696
10145,11/30/1992,0.013304
10145,12/01/1992,0.010941
10145,12/02/1992,0.017316
10145,12/03/1992,-0.023404
10145,12/04/1992,0.008715
10145,12/07/1992,0.000000
10145,12/08/1992,0.008639
10145,12/09/1992,0.008565
10145,12/10/1992,-0.010616
10145,12/11/1992,0.023605
10145,12/14/1992,-0.018868
10145,12/15/1992,0.008547
10145,12/16/1992,-0.002119
10145,12/17/1992,-0.004246
10145,12/18/1992,0.027719
10145,12/21/1992,-0.008299
10145,12/22/1992,0.012552
10145,12/23/1992,0.006198
10145,12/24/1992,-0.006160
10145,12/28/1992,0.018595
10145,12/29/1992,-0.004057
10145,12/30/1992,-0.008147
10145,12/31/1992,-0.006160
